湖南台,#genre#
湖南爱晚,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz1hZjJjZDkwMDRkN2E5MzIyMGMzMGZiOWIxNzFhMjFkMyZ1aWQ9JnV1aWQ9MmU0ZDNlNmRiNWZmOThkMGViMWYxOTg0Mjk4NjhkMjgtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3OTA0NjUwMA,,/HNGGMPP360.m3u8
湖南都市,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTQ4YzhlNDlkYTc1MDdkNWQ1ZmIxMzU5Y2Y5NTljMjE4JnVpZD0mdXVpZD04MDZiNmJkNGZkNTNmYzk1MWNmZTQ5YjE4YWYxNjU0Ni02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzc5MDM3MjE4/HNDSMPP360.m3u8
湖南娱乐频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWNmMzcyMDkxZDgxOGIxZTEyYzcwZWZiOTBhMGI1ZjAwJnVpZD0mdXVpZD0zZDkwNjc0OTFjY2U0YzQ1M2U3MzEwM2I5NjQ0MTYxOS02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzc5MDU1MjIx/HNYLMPP360.m3u8
湖南经视,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz0wMDZlODI1M2Q5M2ViZWE1NTI2OGUzYzU1OTgwNWY2YiZ1aWQ9JnV1aWQ9YmI5MzgxZDIyZTc2NDk1NjQyMWU4NTQ1YTY0ZjBlYWItNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3OTA1MTUxMQ,,/HNJSMPP360.m3u8
金鹰卡通,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTQyNzIwMGE0NDMxNjdkOGFiNTM4MWRkZWEzNzE1ZjJjJnVpZD0mdXVpZD1iOWNjZGFjOGExZmNmMTlmYzA0NjQ4ZTlhNWE5MGI3NC02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzc5MDMwNzkz/JYKTMPP360.m3u8
湖南国际频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTliY2NkNGRhZWNkNzNlNjRhMjgwOGQ1MGE3OTQzN2NlJnVpZD0mdXVpZD0xZWJhMWVmOWNmM2EzMGRiZmI2NWRmZWNmNTQ5ZWUzNS02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzc5MDM5Mjg5/HNGJMPP360.m3u8
湖南电视剧,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz1kYmNjZGZiODlhMzNjMWM0ZGQ0MzhkYjMxYWI5MmI4MyZ1aWQ9JnV1aWQ9YjllYmYyNTg2NmI1NGYzZTlhOTk5NzczMjg1N2U5NmQtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3OTA0MTQ3NA,,/HNDSJMPP360.m3u8
长沙新闻频道,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz05NzE0NjM5MzE0NjQzMGJjOGJmZWNkMDQ5ZmQxOTk0NSZ1aWQ9JnV1aWQ9OTU5ZmUxZDQ2MTRkY2VkNGNlODJhMmFhOGYzYTk5ZjUtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3OTA1NTU4NA,,/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

